Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,32.62%,17.06h,"$111,801.92","$289,548.74",79.48%,"['kol', 'pump_smart', 'smart_degen', 'photon']",2516.80,https://gmgn.ai/sol/address/DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,1175
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,36.56%,668.18h,"$120,551.51","$639,771.49",88.46%,"['kol', 'trojan']",766.50,https://gmgn.ai/sol/address/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,38
A4DCAjDwkq5jYhNoZ5Xn2NbkTLimARkerVv81w2dhXgL,19.57%,315.99h,"$177,293.53","$332,879.45",31.03%,[],830.76,https://gmgn.ai/sol/address/A4DCAjDwkq5jYhNoZ5Xn2NbkTLimARkerVv81w2dhXgL,140
2WxdxZ9bhaCU2mPssvZZytmD5dZZfYs7wFnne63iZHmE,23.05%,463.62h,"$47,179.68","$838,107.64",56.52%,[],0.28,https://gmgn.ai/sol/address/2WxdxZ9bhaCU2mPssvZZytmD5dZZfYs7wFnne63iZHmE,163
5skKDVJ77jhEa1YELXuARCdMLTupVSt83c6VxAYbYqpg,11.01%,62.45h,"$72,368.37","$352,751.96",47.83%,['bullx'],1049.96,https://gmgn.ai/sol/address/5skKDVJ77jhEa1YELXuARCdMLTupVSt83c6VxAYbYqpg,42
9mXZsKuQGeHeVCcxQntr2LdJfWB9sBnXgRXrFj7Bfsg5,81.22%,53.32h,"$9,419.00","$428,523.40",42.86%,"['photon', 'trojan']",1500.71,https://gmgn.ai/sol/address/9mXZsKuQGeHeVCcxQntr2LdJfWB9sBnXgRXrFj7Bfsg5,60
8Nty9vLxN3ZtT4DQjJ5uFrKtvan28rySiGVJ5dPzu81u,24.41%,333.31h,"$482,785.55","$661,814.83",100.00%,[],0.29,https://gmgn.ai/sol/address/8Nty9vLxN3ZtT4DQjJ5uFrKtvan28rySiGVJ5dPzu81u,11
rp8ntGS7P2k3faTvsRSWxQLa3B68DetNbwe1GHLiTUK,10.98%,17.09h,"$30,480.38","$-698,361.76",19.74%,['trojan'],288.45,https://gmgn.ai/sol/address/rp8ntGS7P2k3faTvsRSWxQLa3B68DetNbwe1GHLiTUK,118
87Hnwjwp28WPBLrc1JcuxWxQJenknT2zdN3atbNgtN7t,11.11%,159.41h,$0.00,"$-35,483.63",0.00%,[],0.43,https://gmgn.ai/sol/address/87Hnwjwp28WPBLrc1JcuxWxQJenknT2zdN3atbNgtN7t,0
7aMgK5L4qEQ8Nyv6ZzhZi2B82NSSRnwb2NGJnNagA46D,37.03%,292.35h,"$8,460.10","$56,341.95",92.86%,['bullx'],611.43,https://gmgn.ai/sol/address/7aMgK5L4qEQ8Nyv6ZzhZi2B82NSSRnwb2NGJnNagA46D,38
M5Q1hFKopMr2DyNabEkrgoh6tGaF6z6NVQZ5SGUPss8,-0.20%,8.53h,"$6,078.79","$-4,044.47",35.25%,['photon'],12.79,https://gmgn.ai/sol/address/M5Q1hFKopMr2DyNabEkrgoh6tGaF6z6NVQZ5SGUPss8,371
DEdEW3SMPU2dCfXEcgj2YppmX9H3bnMDJaU4ctn2BQDQ,36.41%,219.46h,$982.64,"$-18,814.88",34.21%,['trojan'],47.80,https://gmgn.ai/sol/address/DEdEW3SMPU2dCfXEcgj2YppmX9H3bnMDJaU4ctn2BQDQ,61
BZmxuXQ68QeZABbDFSzveHyrXCv5EG6Ut1ATw5qZgm2Q,16.24%,53.56h,$-645.61,"$42,938.54",46.58%,[],0.14,https://gmgn.ai/sol/address/BZmxuXQ68QeZABbDFSzveHyrXCv5EG6Ut1ATw5qZgm2Q,428
5qx7yc4owJeVK7X8XWuEFF5NPJdKqDXx8Evs7x8rvEo8,15.58%,7.82h,"$3,296.86","$7,184.72",41.94%,['photon'],20.32,https://gmgn.ai/sol/address/5qx7yc4owJeVK7X8XWuEFF5NPJdKqDXx8Evs7x8rvEo8,160
DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt,51.98%,10.13h,"$12,949.09","$62,942.36",56.92%,"['kol', 'axiom', 'trojan']",31.23,https://gmgn.ai/sol/address/DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt,173
5q6oxgiw84SEmgQuuPGAEDqy6wcHyP7oiGGxapdbvw2i,47.18%,24.25h,"$2,785.77","$26,758.81",76.92%,[],117.78,https://gmgn.ai/sol/address/5q6oxgiw84SEmgQuuPGAEDqy6wcHyP7oiGGxapdbvw2i,21
