Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
76zop9FewDVBkqv5efQz9mmCztEM8RaXCPjok2woiXvZ,4.12%,32.11h,"$24,011.79","$73,066.68",57.14%,[],0.85,https://gmgn.ai/sol/address/76zop9FewDVBkqv5efQz9mmCztEM8RaXCPjok2woiXvZ,91
7JHmxCuhGGUJeWWeKVrpBCSVSMWTGtVeVqmqd47HtEBk,3.87%,?,"$-1,164.03","$2,544.85",?,[],555.53,https://gmgn.ai/sol/address/7JHmxCuhGGUJeWWeKVrpBCSVSMWTGtVeVqmqd47HtEBk,16
7RieT8xePDiPKNw3RvVeTCQ86wAky1eWDgWkMVyv4F84,2.16%,194.02h,"$4,311.20","$32,033.89",79.59%,['bullx'],241.24,https://gmgn.ai/sol/address/7RieT8xePDiPKNw3RvVeTCQ86wAky1eWDgWkMVyv4F84,62
7eMHLPHhQnN7Db3FRcTznjvivf3YJhi96c89Z9XwrSY,11.42%,10.07h,"$2,932.80","$40,128.31",54.55%,[],0.04,https://gmgn.ai/sol/address/7eMHLPHhQnN7Db3FRcTznjvivf3YJhi96c89Z9XwrSY,20
7y975rJq6dVshsCyawpp1NeVSB7ytmJ2NFqwpZiswjg5,-2.41%,62.88h,"$-10,632.97",$852.34,50.00%,[],103.71,https://gmgn.ai/sol/address/7y975rJq6dVshsCyawpp1NeVSB7ytmJ2NFqwpZiswjg5,29
7q4v4kQLjU9hW13CQyCwquNBP9LZfbHxPLonHL8TxfyK,38.66%,55.84h,$0.00,"$30,512.34",?,['photon'],0.60,https://gmgn.ai/sol/address/7q4v4kQLjU9hW13CQyCwquNBP9LZfbHxPLonHL8TxfyK,20
8Ft29DSzQUxpDxvbrcv9bLcNkxwtYM5Rc2SjivnzVaXu,61.91%,?,$0.00,"$138,935.28",?,['axiom'],0.01,https://gmgn.ai/sol/address/8Ft29DSzQUxpDxvbrcv9bLcNkxwtYM5Rc2SjivnzVaXu,0
8PPaaVX8sDbLyLX1AnPVP4ppkEAdG8vZCbnth3fZ1zBJ,134.47%,0s,$0.00,"$436,304.48",?,[],0.00,https://gmgn.ai/sol/address/8PPaaVX8sDbLyLX1AnPVP4ppkEAdG8vZCbnth3fZ1zBJ,0
7zK1sifHiRcbc6jHU41ig5unDjEBn4uQhZkskAKtbYzN,6.59%,117.24h,$0.00,"$23,618.31",?,['trojan'],0.01,https://gmgn.ai/sol/address/7zK1sifHiRcbc6jHU41ig5unDjEBn4uQhZkskAKtbYzN,3
8XTKdoDsUZVv8ekBUHKXjS6s9iNy2z2KZnokKoRK8mMz,201.09%,1.43m,"$4,334.68","$45,047.65",50.00%,"['axiom', 'photon']",0.05,https://gmgn.ai/sol/address/8XTKdoDsUZVv8ekBUHKXjS6s9iNy2z2KZnokKoRK8mMz,8
